time,EMA
2018-02-12,131.2984
2018-02-09,131.3354
2018-02-08,131.4058
2018-02-07,131.5107
2018-02-06,131.5364
2018-02-05,131.5372
2018-02-02,131.5860
2018-02-01,131.5246
2018-01-31,131.4043
2018-01-30,131.2594
2018-01-29,131.1130
2018-01-26,130.9092
2018-01-25,130.6920
2018-01-24,130.5024
2018-01-23,130.3107
2018-01-22,130.1001
2018-01-19,129.9477
2018-01-18,129.7961
2018-01-17,129.5260
2018-01-16,129.2585
2018-01-12,129.0677
2018-01-11,128.8851
2018-01-10,128.6808
2018-01-09,128.4726
2018-01-08,128.2663
2018-01-05,128.0619
2018-01-04,127.8701
2018-01-03,127.6880
2018-01-02,127.5572
2017-12-29,127.4961
2017-12-28,127.4481
2017-12-27,127.3884
2017-12-26,127.3432
2017-12-22,127.3021
2017-12-21,127.2659
2017-12-20,127.2460
2017-12-19,127.2009
2017-12-18,127.1501
2017-12-15,127.0966
2017-12-14,127.0562
2017-12-13,126.9894
2017-12-12,126.9227
2017-12-11,126.8063
2017-12-08,126.7103
2017-12-07,126.6225
2017-12-06,126.5543
2017-12-05,126.4756
2017-12-04,126.3739
2017-12-01,126.2512
2017-11-30,126.1550
2017-11-29,126.0705
2017-11-28,125.9914
2017-11-27,125.9292
2017-11-24,125.8741
2017-11-22,125.8203
2017-11-21,125.7666
2017-11-20,125.7087
2017-11-17,125.6743
2017-11-16,125.6656
2017-11-15,125.6541
2017-11-14,125.6769
2017-11-13,125.6695
2017-11-10,125.6704
2017-11-09,125.6583
2017-11-08,125.6265
2017-11-07,125.5979
2017-11-06,125.5725
2017-11-03,125.5552
2017-11-02,125.5250
2017-11-01,125.4643
2017-10-31,125.3907
2017-10-30,125.3152
2017-10-27,125.2331
2017-10-26,125.1609
2017-10-25,125.0885
2017-10-24,125.0165
2017-10-23,124.9026
2017-10-20,124.7243
2017-10-19,124.4997
2017-10-18,124.2904
2017-10-17,124.1000
2017-10-16,124.1258
2017-10-13,124.1471
2017-10-12,124.1644
2017-10-11,124.1831
2017-10-10,124.1923
2017-10-09,124.1867
2017-10-06,124.1998
2017-10-05,124.2286
2017-10-04,124.2539
2017-10-03,124.2838
2017-10-02,124.3092
2017-09-29,124.3371
2017-09-28,124.3924
2017-09-27,124.4390
2017-09-26,124.4865
2017-09-25,124.5197
2017-09-22,124.5653
2017-09-21,124.6243
2017-09-20,124.6823
2017-09-19,124.7310
2017-09-18,124.8059
2017-09-15,124.8797
2017-09-14,124.9503
2017-09-13,125.0102
2017-09-12,125.0636
2017-09-11,125.1220
2017-09-08,125.1969
2017-09-07,125.3141
2017-09-06,125.4260
2017-09-05,125.5246
2017-09-01,125.6384
2017-08-31,125.7369
2017-08-30,125.8551
2017-08-29,125.9837
2017-08-28,126.1051
2017-08-25,126.2396
2017-08-24,126.3560
2017-08-23,126.4883
2017-08-22,126.6368
2017-08-21,126.8074
2017-08-18,126.9930
2017-08-17,127.1931
2017-08-16,127.3802
2017-08-15,127.5406
2017-08-14,127.7116
2017-08-11,127.8818
2017-08-10,128.0635
2017-08-09,128.2489
2017-08-08,128.4392
2017-08-07,128.6277
2017-08-04,128.8223
2017-08-03,128.9924
2017-08-02,129.1698
2017-08-01,129.3589
2017-07-31,129.5376
2017-07-28,129.7304
2017-07-27,129.9335
2017-07-26,130.1277
2017-07-25,130.3209
2017-07-24,130.5041
2017-07-21,130.6944
2017-07-20,130.8702
2017-07-19,131.0399
2017-07-18,131.2152
2017-07-17,131.2856
2017-07-14,131.3740
2017-07-13,131.4437
2017-07-12,131.5249
2017-07-11,131.6066
2017-07-10,131.6985
2017-07-07,131.7884
2017-07-06,131.8881
2017-07-05,131.9996
2017-07-03,132.0914
2017-06-30,132.1531
2017-06-29,132.2453
2017-06-28,132.3343
2017-06-27,132.4052
2017-06-26,132.4871
2017-06-23,132.5626
2017-06-22,132.6584
2017-06-21,132.7513
2017-06-20,132.8562
2017-06-19,132.9439
2017-06-16,133.0352
2017-06-15,133.1192
2017-06-14,133.2244
2017-06-13,133.3386
2017-06-12,133.4477
2017-06-09,133.5435
2017-06-08,133.6593
2017-06-07,133.8109
2017-06-06,133.9843
2017-06-05,134.1380
2017-06-02,134.2941
2017-06-01,134.4594
2017-05-31,134.6176
2017-05-30,134.7798
2017-05-26,134.9602
2017-05-25,135.1316
2017-05-24,135.2945
2017-05-23,135.4723
2017-05-22,135.6617
2017-05-19,135.8448
2017-05-18,136.0426
2017-05-17,136.2645
2017-05-16,136.4883
2017-05-15,136.6706
2017-05-12,136.8930
2017-05-11,137.1389
2017-05-10,137.3851
2017-05-09,137.6263
2017-05-08,137.8579
2017-05-05,138.0787
2017-05-04,138.2954
2017-05-03,138.4502
2017-05-02,138.6149
2017-05-01,138.7753
2017-04-28,138.9432
2017-04-27,139.0904
2017-04-26,139.2401
2017-04-25,139.3971
2017-04-24,139.5518
2017-04-21,139.7037
2017-04-20,139.8648
2017-04-19,139.9973
2017-04-18,140.1425
2017-04-17,140.1520
2017-04-13,140.1443
2017-04-12,140.1624
2017-04-11,140.1622
2017-04-10,140.1633
2017-04-07,140.1541
2017-04-06,140.1292
2017-04-05,140.0986
2017-04-04,140.0602
2017-04-03,139.9939
2017-03-31,139.9266
2017-03-30,139.8638
2017-03-29,139.8045
2017-03-28,139.7426
2017-03-27,139.6700
2017-03-24,139.6082
2017-03-23,139.5442
2017-03-22,139.4624
2017-03-21,139.3797
2017-03-20,139.3102
2017-03-17,139.2092
2017-03-16,139.1069
2017-03-15,138.9761
2017-03-14,138.8665
2017-03-13,138.7561
